quote,author,url,tags
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,/author/Albert-Einstein,"[{'tag': 'change', 'url': '/tag/change/page/1/'}, {'tag': 'deep-thoughts', 'url': '/tag/deep-thoughts/page/1/'}, {'tag': 'thinking', 'url': '/tag/thinking/page/1/'}, {'tag': 'world', 'url': '/tag/world/page/1/'}]"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,/author/J-K-Rowling,"[{'tag': 'abilities', 'url': '/tag/abilities/page/1/'}, {'tag': 'choices', 'url': '/tag/choices/page/1/'}]"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,/author/Albert-Einstein,"[{'tag': 'inspirational', 'url': '/tag/inspirational/page/1/'}, {'tag': 'life', 'url': '/tag/life/page/1/'}, {'tag': 'live', 'url': '/tag/live/page/1/'}, {'tag': 'miracle', 'url': '/tag/miracle/page/1/'}, {'tag': 'miracles', 'url': '/tag/miracles/page/1/'}]"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,/author/Jane-Austen,"[{'tag': 'aliteracy', 'url': '/tag/aliteracy/page/1/'}, {'tag': 'books', 'url': '/tag/books/page/1/'}, {'tag': 'classic', 'url': '/tag/classic/page/1/'}, {'tag': 'humor', 'url': '/tag/humor/page/1/'}]"
"“Imperfection is beauty, madness is genius and it&#39;s better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,/author/Marilyn-Monroe,"[{'tag': 'be-yourself', 'url': '/tag/be-yourself/page/1/'}, {'tag': 'inspirational', 'url': '/tag/inspirational/page/1/'}]"
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,/author/Albert-Einstein,"[{'tag': 'adulthood', 'url': '/tag/adulthood/page/1/'}, {'tag': 'success', 'url': '/tag/success/page/1/'}, {'tag': 'value', 'url': '/tag/value/page/1/'}]"
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,/author/Andre-Gide,"[{'tag': 'life', 'url': '/tag/life/page/1/'}, {'tag': 'love', 'url': '/tag/love/page/1/'}]"
"“I have not failed. I&#39;ve just found 10,000 ways that won&#39;t work.”",Thomas A. Edison,/author/Thomas-A-Edison,"[{'tag': 'edison', 'url': '/tag/edison/page/1/'}, {'tag': 'failure', 'url': '/tag/failure/page/1/'}, {'tag': 'inspirational', 'url': '/tag/inspirational/page/1/'}, {'tag': 'paraphrased', 'url': '/tag/paraphrased/page/1/'}]"
“A woman is like a tea bag; you never know how strong it is until it&#39;s in hot water.”,Eleanor Roosevelt,/author/Eleanor-Roosevelt,"[{'tag': 'misattributed-eleanor-roosevelt', 'url': '/tag/misattributed-eleanor-roosevelt/page/1/'}]"
"“A day without sunshine is like, you know, night.”",Steve Martin,/author/Steve-Martin,"[{'tag': 'humor', 'url': '/tag/humor/page/1/'}, {'tag': 'obvious', 'url': '/tag/obvious/page/1/'}, {'tag': 'simile', 'url': '/tag/simile/page/1/'}]"
